GW,Team Rank,Formation,Total Score,GK Player,GK Club,GK Score,DEF Player,DEF Club,DEF Score,MID Player,MID Club,MID Score,FWD Player,FWD Club,FWD Score,Extra Player,Extra Club,Extra Position,Extra Score,GW Number
GW 658,1,Extra DEF,399.2,Anatolii Trubin,SL Benfica,58.7,Davinson Sánchez,Galatasaray Spor Kulübü,83.7,Gabriel Sara,Galatasaray Spor Kulübü,100.0,Noa Lang,Galatasaray Spor Kulübü,83.1,Sacha Boey,Galatasaray Spor Kulübü,DEF,73.7,658
GW 657,1,Extra FWD,449.4,Diogo Costa,FC Porto,67.7,João Mendes,Vitória Guimarães SC,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,81.7,Mauro Icardi,Galatasaray Spor Kulübü,100.0,Youssef Chermiti,Rangers FC,FWD,100.0,657
GW 656,1,Extra DEF,383.3,Jack Butland,Rangers FC,47.2,James Tavernier,Rangers FC,87.6,Nicolas Raskin,Rangers FC,77.9,Roger Fernandes,Sporting Braga,85.6,Saracchi,Celtic FC,DEF,85.0,656
GW 655,1,Extra MID,475.5,Uğurcan Çakır,Galatasaray Spor Kulübü,75.8,Jan Bednarek,FC Porto,100.0,Arsenii Batahov,Trabzonspor Kulübü,100.0,Ricardo Horta,Sporting Braga,99.7,Florian Grillitsch,Sporting Braga,MID,100.0,655
GW 654,1,Extra FWD,352.1,Jack Butland,Rangers FC,13.0,James Tavernier,Rangers FC,86.0,Mohammed Diomandé,Rangers FC,83.6,Mikey Moore,Rangers FC,92.0,Oliver Antman,Rangers FC,FWD,77.5,654
GW 653,1,Extra MID,481.2,Kasper Schmeichel,Celtic FC,90.3,Nicolás Otamendi,SL Benfica,95.2,Gabriel Sara,Galatasaray Spor Kulübü,100.0,Ricardo Horta,Sporting Braga,100.0,Callum McGregor,Celtic FC,MID,95.7,653
GW 652,1,Extra FWD,422.6,Anatolii Trubin,SL Benfica,77.5,Nicolás Otamendi,SL Benfica,73.0,Maximiliano Araújo,Sporting Clube de Portugal,85.8,Vangelis Pavlidis,SL Benfica,97.0,Andreas Schjelderup,SL Benfica,FWD,89.3,652
GW 651,1,Extra DEF,467.1,Diogo Costa,FC Porto,77.1,James Tavernier,Rangers FC,100.0,Nicolas Raskin,Rangers FC,99.8,Ricardo Horta,Sporting Braga,90.2,Sidny Cabral,SL Benfica,DEF,100.0,651
GW 650,1,Extra DEF,483.5,Lukáš Horníček,Sporting Braga,90.1,Auston Trusty,Celtic FC,100.0,İsmail Yüksek,Fenerbahçe Spor Kulübü,99.5,Kerim-Sam Alajbegović,FC Red Bull Salzburg,93.9,Frans Krätzig,FC Red Bull Salzburg,DEF,100.0,650
GW 649,1,Extra DEF,468.0,Lukáš Horníček,Sporting Braga,81.6,Samuel Dahl,SL Benfica,100.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,100.0,Barış Yılmaz,Galatasaray Spor Kulübü,93.0,Emirhan Topçu,Beşiktaş Jimnastik Kulübü,DEF,93.4,649
GW 648,1,Extra DEF,368.4,Kasper Schmeichel,Celtic FC,85.3,Liam Scales,Celtic FC,70.0,Arne Engels,Celtic FC,75.0,Benjamin Nygren,Celtic FC,71.0,Julián Araujo,Celtic FC,DEF,67.1,648
GW 647,1,Extra DEF,441.6,Jack Butland,Rangers FC,80.4,James Tavernier,Rangers FC,100.0,Arne Engels,Celtic FC,74.4,Victor Osimhen,Galatasaray Spor Kulübü,86.8,Kieran Tierney,Celtic FC,DEF,100.0,647
GW 646,1,Extra MID,441.0,Jack Butland,Rangers FC,81.6,Emmanuel Fernandez,Rangers FC,88.3,Connor Barron,Rangers FC,100.0,Noa Lang,Galatasaray Spor Kulübü,73.1,Nicolas Raskin,Rangers FC,MID,98.0,646
GW 645,1,Extra FWD,438.9,Jack Butland,Rangers FC,72.0,Eduardo Quaresma,Sporting Clube de Portugal,100.0,Nicolas Raskin,Rangers FC,82.2,Noah Saviolo,Vitória Guimarães SC,92.4,Vangelis Pavlidis,SL Benfica,FWD,92.3,645
GW 644,1,Extra DEF,366.7,Jack Butland,Rangers FC,64.4,Auston Trusty,Celtic FC,78.3,Thelonious Aasgaard,Rangers FC,75.8,Youssef Chermiti,Rangers FC,75.4,Jayden Meghoma,Rangers FC,DEF,72.8,644
GW 643,1,Extra MID,482.3,Jack Butland,Rangers FC,93.9,Jan Bednarek,FC Porto,100.0,Wilfred Ndidi,Beşiktaş Jimnastik Kulübü,97.2,Luis Suárez,Sporting Clube de Portugal,100.0,Maximiliano Araújo,Sporting Clube de Portugal,MID,91.2,643
GW 642,1,Extra FWD,364.7,Rui Silva,Sporting Clube de Portugal,27.0,Ricardo Mangas,Sporting Clube de Portugal,90.6,Telmo Arcanjo,Vitória Guimarães SC,86.4,Fotis Ioannidis,Sporting Clube de Portugal,84.4,Trincão,Sporting Clube de Portugal,FWD,76.3,642
GW 641,1,Extra DEF,487.7,Diogo Costa,FC Porto,98.0,Nicolás Otamendi,SL Benfica,100.0,Callum McGregor,Celtic FC,100.0,Yunus Akgün,Galatasaray Spor Kulübü,92.9,Kieran Tierney,Celtic FC,DEF,96.8,641
GW 640,1,Extra DEF,316.6,Kasper Schmeichel,Celtic FC,43.2,Auston Trusty,Celtic FC,76.5,Paulo Bernardo,Celtic FC,56.4,Daizen Maeda,Celtic FC,71.7,Anthony Ralston,Celtic FC,DEF,68.8,640
GW 639,1,Extra DEF,480.7,Ederson,Fenerbahçe Spor Kulübü,86.6,Alberto Costa,FC Porto,100.0,Christ Inao Oulaï,Trabzonspor Kulübü,100.0,Vangelis Pavlidis,SL Benfica,94.1,Georgios Vagiannidis,Sporting Clube de Portugal,DEF,100.0,639
GW 638,1,Extra MID,441.3,Uğurcan Çakır,Galatasaray Spor Kulübü,87.8,Víctor Gómez,Sporting Braga,81.3,Talisca,Fenerbahçe Spor Kulübü,96.3,Gabri Martínez,Sporting Braga,81.5,Rodrigo Mora,FC Porto,MID,94.4,638
GW 637,1,Extra FWD,445.2,Jack Butland,Rangers FC,79.4,Jan Bednarek,FC Porto,86.8,Ernest Muçi,Trabzonspor Kulübü,88.6,Václav Černý,Beşiktaş Jimnastik Kulübü,99.6,Ricardo Horta,Sporting Braga,FWD,90.8,637
GW 636,1,Extra DEF,394.5,Kasper Schmeichel,Celtic FC,80.0,Colby Donovan,Celtic FC,83.6,Nedim Bajrami,Rangers FC,96.0,Daizen Maeda,Celtic FC,60.0,Max Aarons,Rangers FC,DEF,74.9,636
GW 635,1,Extra DEF,468.1,Jack Butland,Rangers FC,77.5,Eduardo Quaresma,Sporting Clube de Portugal,100.0,Beni,Vitória Guimarães SC,100.0,Trincão,Sporting Clube de Portugal,90.6,Rodrigo Abascal,Vitória Guimarães SC,DEF,100.0,635
GW 634,1,Extra MID,412.5,Anatolii Trubin,SL Benfica,75.4,Samuel Dahl,SL Benfica,87.7,Gabri Veiga,FC Porto,85.4,Luis Suárez,Sporting Clube de Portugal,79.7,Geovany Quenda,Sporting Clube de Portugal,MID,84.3,634
GW 633,1,Extra MID,455.2,Kasper Schmeichel,Celtic FC,71.7,Emmanuel Fernandez,Rangers FC,86.2,Marco Asensio,Fenerbahçe Spor Kulübü,100.0,Barış Yılmaz,Galatasaray Spor Kulübü,100.0,Arsenii Batahov,Trabzonspor Kulübü,MID,97.3,633
GW 632,1,Extra DEF,339.6,Alexander Schlager,FC Red Bull Salzburg,33.4,Davinson Sánchez,Galatasaray Spor Kulübü,96.1,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,80.3,Bojan Miovski,Rangers FC,65.2,Gustaf Lagerbielke,Sporting Braga,DEF,64.6,632
GW 631,1,Extra FWD,431.7,Anatolii Trubin,SL Benfica,73.4,Nelson Semedo,Fenerbahçe Spor Kulübü,79.7,Nicolas Raskin,Rangers FC,89.9,Leroy Sané,Galatasaray Spor Kulübü,95.4,Oliver Antman,Rangers FC,FWD,93.3,631
GW 630,1,Extra MID,377.8,Anatolii Trubin,SL Benfica,36.8,Liam Scales,Celtic FC,79.9,N'Golo Kanté,Fenerbahçe Spor Kulübü,100.0,Victor Osimhen,Galatasaray Spor Kulübü,70.0,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,MID,91.1,630
GW 629,1,Extra DEF,463.2,Jack Butland,Rangers FC,79.5,Liam Scales,Celtic FC,100.0,Morten Hjulmand,Sporting Clube de Portugal,89.5,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,95.4,James Tavernier,Rangers FC,DEF,98.8,629
GW 628,1,Extra DEF,463.5,Ederson,Fenerbahçe Spor Kulübü,85.4,Tomás Araújo,SL Benfica,96.6,Rodrigo Zalazar,Sporting Braga,91.9,Victor Osimhen,Galatasaray Spor Kulübü,94.7,Aleksa Terzić,FC Red Bull Salzburg,DEF,94.9,628
GW 627,1,Extra DEF,452.0,André Onana,Trabzonspor Kulübü,73.3,Sidny Cabral,SL Benfica,97.3,Pedro Gonçalves,Sporting Clube de Portugal,100.0,Clement Bischoff,FC Red Bull Salzburg,90.7,Tomás Araújo,SL Benfica,DEF,90.7,627
GW 626,1,Extra DEF,449.5,Jack Butland,Rangers FC,87.5,Nasser Djiga,Rangers FC,100.0,Luke McCowan,Celtic FC,73.3,Benjamin Nygren,Celtic FC,99.3,Saracchi,Celtic FC,DEF,89.4,626
GW 625,1,Extra DEF,476.8,André Onana,Trabzonspor Kulübü,83.4,Chibuike Nwaiwu,Trabzonspor Kulübü,100.0,Gabriel Sara,Galatasaray Spor Kulübü,100.0,Vangelis Pavlidis,SL Benfica,93.4,Gustaf Lagerbielke,Sporting Braga,DEF,100.0,625
GW 624,1,Extra DEF,436.7,Ersin Destanoğlu,Beşiktaş Jimnastik Kulübü,70.3,Milan Škriniar,Fenerbahçe Spor Kulübü,93.0,Arne Engels,Celtic FC,88.2,Ricardo Horta,Sporting Braga,92.6,Liam Scales,Celtic FC,DEF,92.6,624
GW 623,1,Extra MID,382.5,Tarık Çetin,Fenerbahçe Spor Kulübü,51.9,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,80.4,Thelonious Aasgaard,Rangers FC,84.9,Felipe Augusto,Trabzonspor Kulübü,82.9,Tochi Chukwuani,Rangers FC,MID,82.4,623
GW 622,1,Extra FWD,344.8,Uğurcan Çakır,Galatasaray Spor Kulübü,35.3,Thiago Silva,FC Porto,82.9,Geny Catamo,Sporting Clube de Portugal,60.0,Andreas Schjelderup,SL Benfica,86.6,Victor Osimhen,Galatasaray Spor Kulübü,FWD,80.0,622
GW 621,1,Extra MID,362.7,Diogo Costa,FC Porto,61.7,Jakub Kiwior,FC Porto,81.8,Victor Froholdt,FC Porto,72.3,Oğuz Aydın,Fenerbahçe Spor Kulübü,75.2,Nicolas Raskin,Rangers FC,MID,71.7,621
GW 620,1,Extra DEF,358.7,Kasper Schmeichel,Celtic FC,72.8,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,70.0,Victor Froholdt,FC Porto,83.6,Oliver Antman,Rangers FC,70.4,Saracchi,Celtic FC,DEF,61.9,620
GW 619,1,Extra FWD,467.8,André Onana,Trabzonspor Kulübü,90.5,Stefan Savić,Trabzonspor Kulübü,100.0,Christ Inao Oulaï,Trabzonspor Kulübü,93.7,Paul Onuachu,Trabzonspor Kulübü,92.4,Souleymane Faye,Sporting Clube de Portugal,FWD,91.2,619
GW 618,1,Extra MID,404.1,Uğurcan Çakır,Galatasaray Spor Kulübü,82.7,Ismail Jakobs,Galatasaray Spor Kulübü,78.3,Florian Grillitsch,Sporting Braga,80.6,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,84.9,İsmail Yüksek,Fenerbahçe Spor Kulübü,MID,77.6,618
GW 617,1,Extra DEF,471.5,Uğurcan Çakır,Galatasaray Spor Kulübü,94.4,Wagner Pina,Trabzonspor Kulübü,100.0,Tim Jabol-Folcarelli,Trabzonspor Kulübü,84.2,Nene Dorgeles,Fenerbahçe Spor Kulübü,100.0,Wilfried Singo,Galatasaray Spor Kulübü,DEF,92.9,617
GW 616,1,Extra DEF,457.8,Diogo Costa,FC Porto,75.5,Jakub Kiwior,FC Porto,100.0,Rafa,SL Benfica,100.0,Benjamin Nygren,Celtic FC,82.3,Nicolás Otamendi,SL Benfica,DEF,100.0,616
GW 615,1,Extra FWD,465.0,Diogo Costa,FC Porto,82.6,Nicolás Otamendi,SL Benfica,100.0,Gabri Veiga,FC Porto,92.6,Trincão,Sporting Clube de Portugal,100.0,Yunus Akgün,Galatasaray Spor Kulübü,FWD,89.8,615
GW 614,1,Extra MID,406.5,João Virgínia,Sporting Clube de Portugal,47.8,Nelson Semedo,Fenerbahçe Spor Kulübü,82.8,Enzo Barrenechea,SL Benfica,92.5,Trincão,Sporting Clube de Portugal,93.6,Geovany Quenda,Sporting Clube de Portugal,MID,89.8,614
GW 613,1,Extra DEF,433.5,Uğurcan Çakır,Galatasaray Spor Kulübü,76.8,Diogo Spencer,SL Benfica,96.5,Fred,Fenerbahçe Spor Kulübü,83.1,Barış Yılmaz,Galatasaray Spor Kulübü,87.3,Rodrigo Abascal,Vitória Guimarães SC,DEF,89.8,613
GW 612,1,Extra MID,420.0,Anatolii Trubin,SL Benfica,49.8,Derek Cornelius,Rangers FC,100.0,Kristjan Asllani,Beşiktaş Jimnastik Kulübü,88.2,Luis Suárez,Sporting Clube de Portugal,100.0,Thelonious Aasgaard,Rangers FC,MID,82.0,612
GW 611,1,Extra FWD,435.4,Alexander Schlager,FC Red Bull Salzburg,74.3,Gonçalo Inácio,Sporting Clube de Portugal,74.1,Nicolas Raskin,Rangers FC,87.0,Kerim-Sam Alajbegović,FC Red Bull Salzburg,100.0,Vangelis Pavlidis,SL Benfica,FWD,100.0,611
GW 610,1,Extra DEF,384.0,André Onana,Trabzonspor Kulübü,60.0,Zeno Debast,Sporting Clube de Portugal,100.0,Richard Ríos,SL Benfica,57.7,Andreas Schjelderup,SL Benfica,77.1,Nicolás Otamendi,SL Benfica,DEF,89.2,610
GW 609,1,Extra DEF,410.1,Jack Butland,Rangers FC,70.3,Abdülkerim Bardakcı,Galatasaray Spor Kulübü,86.9,Oleksandr Zubkov,Trabzonspor Kulübü,90.1,Roger Fernandes,Sporting Braga,78.6,Archibald Brown,Fenerbahçe Spor Kulübü,DEF,84.2,609
GW 608,1,Extra DEF,367.7,Kasper Schmeichel,Celtic FC,77.4,Liam Scales,Celtic FC,79.0,Orkun Kökçü,Beşiktaş Jimnastik Kulübü,65.9,Kerem Aktürkoğlu,Fenerbahçe Spor Kulübü,72.6,Cameron Carter-Vickers,Celtic FC,DEF,72.8,608
GW 607,1,Extra DEF,484.0,Uğurcan Çakır,Galatasaray Spor Kulübü,86.1,Dane Murray,Celtic FC,100.0,Pedro Gonçalves,Sporting Clube de Portugal,100.0,Leroy Sané,Galatasaray Spor Kulübü,97.9,Emmanuel Agbadou,Beşiktaş Jimnastik Kulübü,DEF,100.0,607
GW 606,1,Extra MID,386.0,Anatolii Trubin,SL Benfica,83.1,Nelson Semedo,Fenerbahçe Spor Kulübü,77.6,Milot Rashica,Beşiktaş Jimnastik Kulübü,85.3,Gabri Martínez,Sporting Braga,60.0,Rodrigo Zalazar,Sporting Braga,MID,80.0,606
GW 605,1,Extra DEF,463.3,Lukáš Horníček,Sporting Braga,79.4,Gonçalo Inácio,Sporting Clube de Portugal,100.0,Victor Froholdt,FC Porto,99.6,Barış Yılmaz,Galatasaray Spor Kulübü,84.3,Ricardo Mangas,Sporting Clube de Portugal,DEF,100.0,605
GW 604,1,Extra MID,416.8,Anatolii Trubin,SL Benfica,64.0,Paulo Oliveira,Sporting Braga,91.3,Fredrik Aursnes,SL Benfica,91.2,Andreas Schjelderup,SL Benfica,81.3,Rodrigo Zalazar,Sporting Braga,MID,89.0,604
GW 603,1,Extra FWD,471.5,Lukáš Horníček,Sporting Braga,91.7,Eren Elmalı,Galatasaray Spor Kulübü,95.8,Maurits Kjærgaard,FC Red Bull Salzburg,84.0,Barış Yılmaz,Galatasaray Spor Kulübü,100.0,Benjamin Nygren,Celtic FC,FWD,100.0,603
GW 602,1,Extra DEF,397.5,Anatolii Trubin,SL Benfica,66.4,Samuel Dahl,SL Benfica,100.0,Fredrik Aursnes,SL Benfica,86.7,Franjo Ivanović,SL Benfica,70.6,Nicolás Otamendi,SL Benfica,DEF,73.8,602
GW 601,1,Extra DEF,418.8,Kasper Schmeichel,Celtic FC,73.4,Alistair Johnston,Celtic FC,100.0,Tochi Chukwuani,Rangers FC,70.0,Yorbe Vertessen,FC Red Bull Salzburg,75.4,Liam Scales,Celtic FC,DEF,100.0,601
GW 600,1,Extra MID,363.6,Lukáš Horníček,Sporting Braga,60.0,Felix Uduokhai,Beşiktaş Jimnastik Kulübü,63.9,Maurits Kjærgaard,FC Red Bull Salzburg,100.0,Clement Bischoff,FC Red Bull Salzburg,77.3,Mads Bidstrup,FC Red Bull Salzburg,MID,62.4,600
GW 598,1,Extra DEF,418.6,Jack Butland,Rangers FC,77.7,John Souttar,Rangers FC,95.4,Nicolas Raskin,Rangers FC,79.7,Clement Bischoff,FC Red Bull Salzburg,80.6,Nasser Djiga,Rangers FC,DEF,85.2,598
GW 592,1,Extra DEF,323.6,Ederson,Fenerbahçe Spor Kulübü,30.2,António Silva,SL Benfica,97.9,Richard Ríos,SL Benfica,88.3,Leroy Sané,Galatasaray Spor Kulübü,42.5,Thiago Silva,FC Porto,DEF,64.7,592
GW 591,1,Extra FWD,370.9,Anatolii Trubin,SL Benfica,80.9,Nicolás Otamendi,SL Benfica,71.1,Fredrik Aursnes,SL Benfica,71.8,William,FC Porto,78.5,Andreas Schjelderup,SL Benfica,FWD,68.6,591
GW 590,1,Extra DEF,477.2,Anatolii Trubin,SL Benfica,82.6,Nicolás Otamendi,SL Benfica,100.0,Ilkay Gündogan,Galatasaray Spor Kulübü,96.7,Clement Bischoff,FC Red Bull Salzburg,100.0,Michael Murillo,Beşiktaş Jimnastik Kulübü,DEF,97.9,590
GW 589,1,Extra MID,457.8,Ederson,Fenerbahçe Spor Kulübü,77.0,Sacha Boey,Galatasaray Spor Kulübü,100.0,Edson Álvarez,Fenerbahçe Spor Kulübü,100.0,Roger Fernandes,Sporting Braga,83.7,Mads Bidstrup,FC Red Bull Salzburg,MID,97.1,589
GW 588,1,Extra DEF,431.4,Kasper Schmeichel,Celtic FC,80.7,Jakub Kiwior,FC Porto,100.0,Pablo Rosario,FC Porto,81.3,Oliver Antman,Rangers FC,69.9,Michael Murillo,Beşiktaş Jimnastik Kulübü,DEF,99.5,588
GW 587,1,Extra DEF,408.1,Ross Doohan,Celtic FC,62.0,John Souttar,Rangers FC,90.4,İsmail Yüksek,Fenerbahçe Spor Kulübü,82.6,Franjo Ivanović,SL Benfica,93.8,Stefan Savić,Trabzonspor Kulübü,DEF,79.3,587
GW 586,1,Extra FWD,250.7,Diogo Costa,FC Porto,52.0,Gonçalo Inácio,Sporting Clube de Portugal,51.2,Maximiliano Araújo,Sporting Clube de Portugal,40.5,Hyeongyu Oh,Beşiktaş Jimnastik Kulübü,66.7,Leroy Sané,Galatasaray Spor Kulübü,FWD,40.3,586
GW 585,1,Extra DEF,427.5,Mert Günok,Fenerbahçe Spor Kulübü,77.0,Kaan Ayhan,Galatasaray Spor Kulübü,93.8,Oleksandr Zubkov,Trabzonspor Kulübü,97.1,Victor Osimhen,Galatasaray Spor Kulübü,72.4,Ismail Jakobs,Galatasaray Spor Kulübü,DEF,87.2,585
GW 583,1,Extra MID,487.9,Ederson,Fenerbahçe Spor Kulübü,87.9,Ismail Jakobs,Galatasaray Spor Kulübü,100.0,Ilkay Gündogan,Galatasaray Spor Kulübü,100.0,Nene Dorgeles,Fenerbahçe Spor Kulübü,100.0,Victor Froholdt,FC Porto,MID,100.0,583
GW 581,1,Extra DEF,463.0,Diogo Costa,FC Porto,99.5,Jakub Kiwior,FC Porto,100.0,Maximiliano Araújo,Sporting Clube de Portugal,86.8,Edmund Baidoo,FC Red Bull Salzburg,82.7,Martim Fernandes,FC Porto,DEF,94.0,581
GW 580,1,Extra MID,398.3,Viljami Sinisalo,Celtic FC,54.3,Anthony Ralston,Celtic FC,77.2,Luke McCowan,Celtic FC,98.5,Václav Černý,Beşiktaş Jimnastik Kulübü,80.4,Nicolas Raskin,Rangers FC,MID,87.9,580
